score,matched_terms,id,title,date,item_url,subjects,tags,media_urls
1,director,657,"January 20, 1937","January 20, 1937",https://collections.uwindsor.ca/chekhov/item/657,"Słowacki, Juliusz, 1809-1849. Balladina",Balladina; director; psychological gesture; Słowacki,https://collections.uwindsor.ca/files/original/1044a181ba177ca1449f67799dc2f549d8df6354.pdf
1,form,805,"January 20, 1938","January 20, 1938",https://collections.uwindsor.ca/chekhov/item/805,"Shakespeare, William, 1564-1616. King Lear",activity; exercises; feeling of beauty; feeling of ease; feeling of form; King Lear; Shakespeare; significance,https://collections.uwindsor.ca/files/original/31a0516225beb717f19d245290c63c44a54af95d.pdf
1,style,808,"January 24, 1938 (afternoon)","January 24, 1938",https://collections.uwindsor.ca/chekhov/item/808,"Young, Henry Lyon. Spanish evening",characterization; commedia dell'arte; Deirdre Hurst; Dorothy Elmhirst; Henry Lyon Young; Spanish Evening; style,https://collections.uwindsor.ca/files/original/e48669d05a8bb7d4d63aa17db04f4ba0959e7636.pdf
1,style,812,"January 27, 1938 (afternoon)","January 27, 1938",https://collections.uwindsor.ca/chekhov/item/812,"Shdanoff, George, 1905-1998. The Possessed; Chekhov, Anton Pavlovich, 1860-1904; Ibsen, Henrik, 1828-1906",Anton Chekhov; George Shdanoff; Ibsen; Possessed; psychological gesture; style,https://collections.uwindsor.ca/files/original/3c5bc6f2019ae3647e86186bb329b6b2507db3da.pdf
1,objective,1024,"January 29, 1940","January 29, 1940",https://collections.uwindsor.ca/chekhov/item/1024,"Shakespeare, William, 1564-1616. Hamlet; Shakespeare, William, 1564-1616. King Lear",archetype; concentration; exercises; Hamlet; King Lear; method [Chekhov]; objective; psychology; Shakespeare,https://collections.uwindsor.ca/files/original/0f3f8c3ba73e3cb7146e1bd3d461e6bb7bfc73a5.pdf
1,scene,814,"January 31, 1938 (afternoon)","January 31, 1938",https://collections.uwindsor.ca/chekhov/item/814,"Shakespeare, William, 1564-1616. Othello; Shakespeare, William, 1564-1616. Romeo and Juliet; Shakespeare, William, 1564-1616. Merchant of Venice; Shdanoff, George, 1905-1998. The Possessed; Young, Henry Lyon. Spanish evening; The fairy tale / Two kings (scene); Shaw, Bernard, 1856-1950. St. Joan",Alan Harkness; Alice Crowther; Beatrice Straight; commedia dell'arte; Dennis; Dorothy Elmhirst; Eleanor Paison; Eurhythmy; fairy tale; Felicity Cumming; George Shdanoff; Henry Lyon Young; Hurd Hatfield; Mary Lou Taylor; Merchant of Venice; method [Chekhov]; Othello; Paul Rogers; Peter Tunnard; Possessed; Romeo and Juliet; Sam Schatz; Shakespeare; Shaw; Spanish Evening; speech; St. Joan; Terence Morgan; Valerie; Woodrow Chambliss,https://collections.uwindsor.ca/files/original/5192467b7a17a8cec2026155b5b69b5470f72692.pdf
1,play,1026,"January 31, 1940: The Mother: A fairy tale play - by Michael Chekhov","January 31, 1940",https://collections.uwindsor.ca/chekhov/item/1026,"Chekhov, Michael, 1891-1955. The Mother",fairy tale; The Mother,https://collections.uwindsor.ca/files/original/98daa575556e579f65997a5908ddc0d001d7d8f3.pdf
1,scene,741,"July 12, 1937","July 12, 1937",https://collections.uwindsor.ca/chekhov/item/741,The fishing scene,feeling of truth; fishing scene; justification; method [Chekhov],https://collections.uwindsor.ca/files/original/a46b5e62526087d6395c60649a317620e4d59f07.pdf
1,director,742,"July 13, 1937","July 13, 1937",https://collections.uwindsor.ca/chekhov/item/742,,director; justification,https://collections.uwindsor.ca/files/original/cb757793246df8d3b70668b9fc28c8bf80d1bd95.pdf
1,scene,744,"July 15, 1937","July 15, 1937",https://collections.uwindsor.ca/chekhov/item/744,"Rainis, Jānis, 1865-1929. The Golden steed; The fishing scene; Ibsen, Henrik, 1828-1906. Peer Gynt; Słowacki, Juliusz, 1809-1849. Balladina",Balladina; exercises; fishing scene; Golden Steed; Ibsen; life power; Peer Gynt; Rainis; Słowacki,https://collections.uwindsor.ca/files/original/06f5a89e22abd3e2418d7051339c2cd2e6248dbf.pdf
1,atmosphere,905,"July 15, 1938","July 15, 1938",https://collections.uwindsor.ca/chekhov/item/905,"Cervantes Saavedra, Miguel de, 1547-1616. Don Quixote",atmosphere; improvisation; method [Chekhov],https://collections.uwindsor.ca/files/original/849e039a8868384334168fcdf10ddef287b1b31c.pdf
1,atmosphere,973,"July, 1939","July, 1939",https://collections.uwindsor.ca/chekhov/item/973,"Dickens, Charles, 1812-1870. Pickwick papers",atmosphere; Dickens; Pickwick Papers,https://collections.uwindsor.ca/files/original/16565ed9ec2ad682e0f6731d9de34fbfc58556f1.pdf
1,style,890,"June 10, 1938","June 10, 1938",https://collections.uwindsor.ca/chekhov/item/890,"Young, Henry Lyon. Spanish evening",comedy; drama; Henry Lyon Young; Spanish Evening; style,https://collections.uwindsor.ca/files/original/5864e357162f549a7a218b56502e90517cde472f.pdf
